height_cm,shoe_size,gender,degree,cats_or_dogs,hair_color,eye_color,rock_paper_scissors,modelling_uncertainty_or_data,rent_eur,room_size_m2
171.0,41.0,Male,Environmental Engineering,Both?,Black,Brown,Paper,*Incoherent Screaming*,700.0,19.0
196.0,43.0,Male,Civil Engineering ,Both?,Hazel,Blue,Rock,Data,400.0,16.0
170.0,42.0,Male,"Earth, Climate, and Technology",Dogs,Black,Hazel,Scissors,Modelling,860.0,100.0
188.0,45.0,Male,Environmental Engineering,Neither! >:(,Blond,Green,Rock,Uncertainty,600.0,12.0
178.0,43.0,Male,Civil Engineering ,Dogs,Blond,Grey,Paper,Modelling,600.0,12.0
187.0,43.0,Male,Environmental Engineering,Both?,Brown,Green,Rock,*Incoherent Screaming*,261.0,50.0
186.0,44.0,Male,Civil Engineering ,Cats,Brown,Brown,Rock,Uncertainty,1000.0,25.0
185.0,32.0,Male,Civil Engineering ,Cats,Brown,Brown,Paper,Modelling,,30.0
176.0,43.0,Male,Civil Engineering ,Dogs,Brown,Brown,Paper,*Incoherent Screaming*,795.0,23.0
175.0,39.0,Female,"Earth, Climate, and Technology",Dogs,Black,Brown,Rock,*Incoherent Screaming*,504.0,13.0
173.0,41.0,Male,Civil Engineering ,Cats,Brown,Green,Scissors,*Incoherent Screaming*,375.0,13.0
